                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     84,                0.63328,                0.34038,                0.95598,                0.99918,                      1,                  0.995,                 0.7858,                      0,                    inf,                      0,               0.001783,               0.001783,               0.001783
                     85,                 0.6239,                0.33926,                0.94307,                0.99871,                      1,                  0.995,                0.77026,                      0,                    inf,                      0,               0.001684,               0.001684,               0.001684
                     86,                0.65005,                0.34471,                0.94956,                0.99806,                      1,                  0.995,                0.77436,                      0,                    inf,                      0,               0.001585,               0.001585,               0.001585
                     87,                0.62863,                0.34454,                0.94624,                0.99911,                      1,                  0.995,                0.78646,                      0,                    inf,                      0,               0.001486,               0.001486,               0.001486
                     88,                0.61382,                0.33219,                0.95274,                0.99914,                      1,                  0.995,                0.79127,                      0,                    inf,                      0,               0.001387,               0.001387,               0.001387
                     89,                0.62839,                0.33096,                0.94879,                0.99921,                      1,                  0.995,                0.78733,                      0,                    inf,                      0,               0.001288,               0.001288,               0.001288
                     90,                0.58459,                  0.288,                0.91363,                0.99859,                      1,                  0.995,                 0.7706,                      0,                    inf,                      0,               0.001189,               0.001189,               0.001189
                     91,                0.58256,                0.28678,                0.91354,                0.99916,                      1,                  0.995,                0.78282,                      0,                    inf,                      0,                0.00109,                0.00109,                0.00109
                     92,                0.57348,                0.27575,                0.90113,                0.99899,                      1,                  0.995,                0.78497,                      0,                    inf,                      0,               0.000991,               0.000991,               0.000991
                     93,                0.56375,                0.26829,                0.90414,                0.99901,                      1,                  0.995,                0.78033,                      0,                    inf,                      0,               0.000892,               0.000892,               0.000892
                     94,                0.57363,                0.27072,                0.90528,                0.99893,                      1,                  0.995,                0.77027,                      0,                    inf,                      0,               0.000793,               0.000793,               0.000793
                     95,                0.56485,                0.26919,                 0.9027,                0.99881,                      1,                  0.995,                  0.776,                      0,                    inf,                      0,               0.000694,               0.000694,               0.000694
                     96,                0.54707,                0.26407,                0.89178,                0.99823,                      1,                  0.995,                0.78047,                      0,                    inf,                      0,               0.000595,               0.000595,               0.000595
                     97,                0.55284,                0.26258,                0.89548,                0.99785,                      1,                  0.995,                0.78968,                      0,                    inf,                      0,               0.000496,               0.000496,               0.000496
                     98,                0.55439,                0.26033,                0.89506,                0.99785,                      1,                  0.995,                0.78279,                      0,                    inf,                      0,               0.000397,               0.000397,               0.000397
                     99,                0.53502,                0.25654,                0.89235,                0.99805,                      1,                  0.995,                0.79415,                      0,                    inf,                      0,               0.000298,               0.000298,               0.000298
